"Part";"Value";"Device";"Package";"Description";"COST01";"COST10";"COST100";"MFR";"MOUSER";"MPN";"MPN2";"OC_MOUSER";"OC_SEEED";"VALUE";
"Q1";"NPN";"NPN-BC846";"SOT-23";"NPN BJ Transistor";"0.20";"0.16";"0.10";"On Semiconductor";"https://www.mouser.com/ProductDetail/ON-Semiconductor/BC846BLT1G";"BC846";"";"";"";"NPN";
"Q2";"NPN";"NPN-BC846";"SOT-23";"NPN BJ Transistor";"0.20";"0.16";"0.10";"On Semiconductor";"https://www.mouser.com/ProductDetail/ON-Semiconductor/BC846BLT1G";"BC846";"";"";"";"NPN";
"R1";"470K";"RESISTOR0603";"0603-RES";"Resistor";"0.10";"0.05";"0.02";"";"";"";"";"";"";"";
"R2";"470K";"RESISTOR0603";"0603-RES";"Resistor";"0.10";"0.05";"0.02";"";"";"";"";"";"";"";
"R3";"100";"RESISTOR0603";"0603-RES";"Resistor";"0.10";"0.05";"0.02";"";"";"";"";"";"";"";
"R4";"10K";"RESISTOR0603";"0603-RES";"Resistor";"0.10";"0.05";"0.02";"";"";"";"";"";"";"";
"R5";"100K";"RESISTOR0603";"0603-RES";"Resistor";"0.10";"0.05";"0.02";"";"";"";"";"";"";"";
"R6";"100";"RESISTOR0603";"0603-RES";"Resistor";"0.10";"0.05";"0.02";"";"";"";"";"";"";"";
"R7";"10K";"RESISTOR0603";"0603-RES";"Resistor";"0.10";"0.05";"0.02";"";"";"";"";"";"";"";
"R8";"100K";"RESISTOR0603";"0603-RES";"Resistor";"0.10";"0.05";"0.02";"";"";"";"";"";"";"";
"R9";"2.2K";"RESISTOR0603";"0603-RES";"Resistor";"0.10";"0.05";"0.02";"";"";"";"";"";"";"";
"R10";"33K";"RESISTOR0603";"0603-RES";"Resistor";"0.10";"0.05";"0.02";"";"";"";"";"";"";"";
"R11";"470K";"RESISTOR0603";"0603-RES";"Resistor";"0.10";"0.05";"0.02";"";"";"";"";"";"";"";
"R12";"100";"RESISTOR0603";"0603-RES";"Resistor";"0.10";"0.05";"0.02";"";"";"";"";"";"";"";
"R13";"33K";"RESISTOR0603";"0603-RES";"Resistor";"0.10";"0.05";"0.02";"";"";"";"";"";"";"";
"R14";"100";"RESISTOR0603";"0603-RES";"Resistor";"0.10";"0.05";"0.02";"";"";"";"";"";"";"";
"RX";"PADSMD-050X050";"PADSMD-050X050";"SMD-050X050";"Solder Pad";"";"";"";"";"";"";"";"";"";"";
"TX";"PADSMD-050X050";"PADSMD-050X050";"SMD-050X050";"Solder Pad";"";"";"";"";"";"";"";"";"";"";
"U1";"TL071";"SINGLE-TL071";"SOT-23-5";"Single channel Op-amp";"0.46";"0.37";"0.29";"TI";"";"TL071HIDBV";"";"";"";"TL071";
"U3";"ATmega328P-AU";"ATMEGA328AU";"TQFP-32-08";"Atmega 328P";"";"";"";"Atmel";"";"ATMEGA328P-AU";"";"556-ATMEGA328P-AU";"310010049";"ATmega328P-AU";
"VR";"5V";"LDO-3P--5V-SOT23";"SOT-23";"regulator 3-pin";"0.66";"0.56";"0.39";"Diodes, Inc.";"";"AP7387-50SA";"";"";"";"5V";
"X1";"16MHz";"2PCTS_445";"CTS_5X3";"Crystal";"0.65";"0.55";"0.45";"CTS";"";"445C35K16M0000";"";"";"";"16MHz";
"X2";"16MHz";"RESONATOR-CSTE16";"CSTE-RESONATOR";"Resonator";"0.35";"0.30";"0.27";"Murata";"";"CSTCE16M";"";"";"";"16MHz";
"X3";"16MHz";"2P3.2X2.5";"32X25";"Crystal";"";"";"";"Epson";"";"FA-238 16.0000MB-K3";"";"";"";"16MHz";
